date,bitcoin
2017-08-18,1967
2017-08-19,1844
2017-08-20,1704
2017-08-21,1702
2017-08-22,1893
2017-08-23,1730
2017-08-24,1661
2017-08-25,1990
2017-08-26,1685
2017-08-27,1525
2017-08-28,1646
2017-08-29,1931
2017-08-30,2020
2017-08-31,2167
2017-09-01,1891
2017-09-02,1752
2017-09-03,1532
2017-09-04,1870
2017-09-05,1932
2017-09-06,1652
2017-09-07,1507
2017-09-08,1258
2017-09-09,1045
2017-09-10,1026
2017-09-11,1114
2017-09-12,1113
2017-09-13,1531
2017-09-14,1807
2017-09-15,2059
2017-09-16,1317
2017-09-17,1058
2017-09-18,1238
2017-09-19,1152
2017-09-20,1021
2017-09-21,1010
2017-09-22,2236
2017-09-23,1850
2017-09-24,1746
2017-09-25,1954
2017-09-26,1948
2017-09-27,2093
2017-09-28,2079
2017-09-29,2139
2017-09-30,1907
2017-10-01,1888
2017-10-02,2165
2017-10-03,2111
2017-10-04,2019
2017-10-05,1979
2017-10-06,683
2017-10-07,559
2017-10-08,614
2017-10-09,744
2017-10-10,786
2017-10-11,744
2017-10-12,1210
2017-10-13,1953
2017-10-14,1292
2017-10-15,1201
2017-10-16,1218
2017-10-17,1166
2017-10-18,1171
2017-10-19,1115
2017-10-20,1675
2017-10-21,1875
2017-10-22,1560
2017-10-23,1779
2017-10-24,1923
2017-10-25,1731
2017-10-26,1635
2017-10-27,967
2017-10-28,777
2017-10-29,829
2017-10-30,986
2017-10-31,1126
2017-11-01,1409
2017-11-02,1888
2017-11-03,2092
2017-11-04,1576
2017-11-05,1556
2017-11-06,1649
2017-11-07,1544
2017-11-08,1683
2017-11-09,1599
2017-11-10,1185
2017-11-11,1119
2017-11-12,1453
2017-11-13,1261
2017-11-14,992
2017-11-15,977
2017-11-16,1013
2017-11-17,1760
2017-11-18,1302
2017-11-19,1215
2017-11-20,1547
2017-11-21,1667
2017-11-22,1444
2017-11-23,1337
2017-11-24,484
2017-11-25,439
2017-11-26,640
2017-11-27,889
2017-11-28,1003
2017-11-29,1659
2017-11-30,1387
2017-12-01,645
2017-12-02,470
2017-12-03,461
2017-12-04,542
2017-12-05,543
2017-12-06,732
2017-12-07,1410
2017-12-08,1851
2017-12-09,1171
2017-12-10,1118
2017-12-11,1274
2017-12-12,1219
2017-12-13,1091
2017-12-14,947
2017-12-15,876
2017-12-16,821
2017-12-17,928
2017-12-18,930
2017-12-19,995
2017-12-20,1379
2017-12-21,1009
2017-12-22,1639
2017-12-23,1053
2017-12-24,787
2017-12-25,685
2017-12-26,674
2017-12-27,631
2017-12-28,633
2017-12-29,2200
2017-12-30,2107
2017-12-31,1787
2018-01-01,1651
2018-01-02,1995
2018-01-03,2005
2018-01-04,1944
2018-01-05,1543
2018-01-06,1329
2018-01-07,1296
2018-01-08,1441
2018-01-09,1399
2018-01-10,1440
2018-01-11,1638
2018-01-12,787
2018-01-13,610
2018-01-14,571
2018-01-15,565
2018-01-16,1098
2018-01-17,1467
2018-01-18,1067
2018-01-19,2091
2018-01-20,1679
2018-01-21,1566
2018-01-22,1771
2018-01-23,1762
2018-01-24,1609
2018-01-25,1533
2018-01-26,1372
2018-01-27,1107
2018-01-28,1050
2018-01-29,1091
2018-01-30,1208
2018-01-31,1314
2018-02-01,1578
2018-02-02,1469
2018-02-03,915
2018-02-04,776
2018-02-05,1297
2018-02-06,1775
2018-02-07,1100
2018-02-08,909
2018-02-09,2121
2018-02-10,1695
2018-02-11,1561
2018-02-12,1723
2018-02-13,1574
2018-02-14,1573
2018-02-15,1712
2018-02-16,1921
2018-02-17,1732
2018-02-18,1804
2018-02-19,1676
2018-02-20,1857
2018-02-21,1854
2018-02-22,1694
2018-02-23,2066
2018-02-24,1747
2018-02-25,1638
2018-02-26,1828
2018-02-27,1871
2018-02-28,1797
2018-03-01,1677
2018-03-02,1600
2018-03-03,1438
2018-03-04,1309
2018-03-05,1459
2018-03-06,1502
