,date,text,Google compound,Google positive,Google negative,Google neutral
0,2021-04-22 10:00:00,"It's the showdown that everyone has been waiting for. Gold financier Frank Giustra versus MicroStrategy CEO Michael Saylor in the ultimate gold vs bitcoin... A Surrey-based computer scientist who claims he is the true creator of Bitcoin is taking website Bitcoin. Bitcoin's price could slide by 50% after its run-up to record highs, said Guggenheim Partners' Scott Minerd, who remains a long-term bitcoin bull. The recent price movement of bitcoin indicates consolidation. This is a healthy pullback and will provide long-term stability to the world's largest crypto... Imagine bitcoin has no environmental problem — it's easy if you try. Veteran trader and chart guru Peter Brandt has made a cheeky correlation between the current Bitcoin (BTC) market correction and the prevalence of “laser... A raise to the Cash App bitcoin withdrawal minimum suggests increasing transactions and fees were becoming a burden. Jackson, Tennessee is the latest city in the United States moving to adopt Bitcoin payments and mining, following recent crypto developments in Florida. The slide in bitcoin may also be attributed to the rise in other coins, particularly ether, which has been taking center stage, an expert said. Tesla chief Elon Musk has agreed with Twitter boss Jack Dorsey, who has said that bitcoin ""incentivises"" renewable energy, despite experts warning otherwise...",0.8568,0.092,0.035,0.873
1,2021-04-23 10:00:00,"Bitcoin price has erupted to more than $55000, clearing any downtrend resistance and potentially signaling that the bull run is back on. The move might. Emily Parker of Coindesk TV and Ryan Selkis, Messari CEO, discuss what could be behind the cryptocurrency sell-off, including fears of regulation and... ""There's no connection between inflation and bitcoin,"" Nassim Taleb, author of ""Black Swan,"" told CNBC's ""Squawk Box"" team. ""The best strategy for investors... The bloodbath in the cryptocurrency market has continued apace this afternoon with nearly all the major coins suffering double-digit selloffs, as. With bitcoin and cryptocurrency market watchers nervously eyeing price charts, Guggenheim Partners' investment manager (and long-term bitcoin bull) Scott... The Bitcoin (BTC-USD) selloff is continuing with the price of the cryptocurrency still falling as investors see their profits shrink. Bitcoin could ultimately find support at $42000, representing a 15% decline from current levels, according to one technical analyst. Digital bank Anchorage is partnering with Wyoming's Two Ocean Trust to offer crypto estate planning services for high-net worth Bitcoin and cryptocurrency... London's high court allowing Wright to pursue operator-publisher of bitcoin.org over what he says is copyright infringement. Faruk Fatih Ozer is believed to have fled to Albania with an alleged $2bn from 391000 investors.",0.3818,0.067,0.064,0.868
2,2021-04-24 10:00:00,"Download Simplest Bitcoin App : CoinDCX Go - https://bit.ly/32IH6EvBuying Bitcoin on CoinDCX Go is as easy as tapping on your smartphone! Bitcoin dropped 1.77% to $50269.9 on Saturday, losing $906.75 from its previous close. Bitcoin, the world's biggest and best-known cryptocurrency,... Following cryptocurrency exchange Coinbase's big public debut, these crypto companies may be next in line for an IPO. The U.S. state of Louisiana has passed a resolution to commend bitcoin for its success as well as commend the cryptocurrency's pseudonymous creator,... Bitcoin is setting up for a near-term downturn that could see it shed a good chunk of its recent gains, even if the longer-term outlook appears healthy for. BERLIN (AP) — A German software developer who made a fortune from bitcoin has given the environmentalist Green Party one of the biggest political donations... Wondering if Bitcoin is a good investment? Here are some reasons why you might want to invest in cryptocurrency, and some why you may not. April 24 (Reuters) - Bitcoin dropped 1.77% to $50,269.9 on Saturday, losing $906.75 from its previous close. Bitcoin, the world's biggest and best-known... In 2009, the mysterious Satoshi Nakamoto published the now famous white paper that introduced Bitcoin (CRYPTO:BTC). In its pages, the unknown individual (or... The $35 billion fund (ticker GBTC) has lost roughly a fifth of its value since last Friday while Bitcoin tumbled from record highs.",0.9705,0.132,0.031,0.837
3,2021-04-25 10:00:00,"Why is #DogeCoinToTheMoon trending? What is #BitcoinCrash? What's driving the whole crypto craze? Is it worth investing your real money? TheStreet talks with Bobby Ong of CoinGecko about what happened to bitcoin over the past week. Kenetic Founder & Managing Partner Jehan Chu, an investor in cryptocurrency since 2013 sees bitcoin hitting $100000 in 3Q. But he sees Handshake becoming... Ripple Labs cofounder Chris Larsen has a bone to pick with bitcoin and crypto networks that leverage proof-of-work (PoW). Larsen's latest write-up explains... Rarely have so many assets been up this much at once. The frenzy has extended far beyond conventional markets tracked by Wall Street firms. Sathvik Vishwanath Bitcoin has had a volatile trading history since its creation in 2009. The first price hike occurred in November 2013 when one bitcoin... Bitcoin and other cryptocurrencies have gone from curiosity to punchline to viable investment, making them almost impossible to ignore — for better or... (Miss this week's The Leadership Brief? This interview below was delivered to the inbox of Leadership Brief subscribers on Sunday morning, April 25;... What the heck happened to my Bitcoin last week? I've been taking some off the table since hitting all time highs, and loading up my BitPay Mastercard with... The company's stock market arrival establishes Bitcoin and other digital currencies in the traditional financial landscape. It also elevates a technology...",0.6455,0.049,0.03,0.921
4,2021-04-26 10:00:00,"The price of bitcoin headed towards bearish territory Sunday before bouncing. Ether's average fees have dropped over the past seven days,... Sean Culkin will be the first NFL player to convert his entire salary to Bitcoin if he makes the Chiefs' roster this season. JPMorgan Chase plans to give wealthy customers what they seem to want: a bitcoin fund. Sources said the bitcoin fund could be rolled out as soon as this... The JPMorgan bitcoin fund could roll out as soon as this summer with NYDIG as the fund's custody provider. Bitcoin can play a key role in delivering “an abundant, clean energy future”, suggests a new report from financial services company Square's Bitcoin Clean... Investing in cryptocurrencies requires an appetite for risk and a whole new vocabulary. Here's a beginner's guide to the fundamentals of crypto lingo. On April 26, 2011, Bitcoin creator Satoshi Nakamoto sent his final emails to fellow developers. New research explore the full story further. Crypto markets are bouncing back after Bitcoin briefly hit a seven-week low early this morning. The OG cryptocurrency dipped as low as US$47,840 around 8am... Bitcoin is staging its biggest rally since early February, after crashing dramatically on Thursday and Friday. It has climbed back to around $53,000... The bitcoin rally marks the biggest surge since February 8.",0.5719,0.05,0.028,0.922
5,2021-04-27 10:00:00,"Bitcoin and emissions credits helped it set a quarterly earnings record. Evolving rules, environmental concerns and competition from central banks threaten to undermine many of the world's fast-growing crypto assets, crypto and... Elon Musk has hit back at a critic who claimed he pumped and dumped Bitcoin to ""make a fortune"" after Tesla reported first quarter earnings that surpassed... Ever wonder if bitcoin is real money? You're not alone. In a banner year for cryptocurrencies (so far), not all of the news is going to be good. As Bitcoin and other digital coins have soared in value since... Bitcoin has bounced to $54000, the max pain point of the April 30 options expiry. Don't panic, the fact that you can now mine Bitcoin using a Commodore 64 doesn't mean there's going to be a world shortage of 8-bit C64's,... Bitcoin is recovering while fund manager Dan Tapiero reveals he is still bullish on a $100000 price tag this year. Crypto assets and bitcoin regained some of the losses felt last week as the crypto economy jumped back over the $2 trillion valuation mark. Turkey is planning to regulate its cryptocurrency market after two local exchanges crumbled within days.",-0.4512,0.074,0.084,0.842
6,2021-04-28 10:00:00,"Ever wondered what Bitcoin sounds like?Cryptowaves takes cryptocurrency charts and turns them into wavetables (and crypto-finance terms into lyrics) to... Bitcoin options traders hoped for a $60000 monthly close, but the balance between calls and puts signal the expiry will be a non-event. Brett Lee on Tuesday decided to donate one bitcoin (approximately Rs 40 lakh) to help India in its fight against the raging COVID-19 pandemic. An expert panel has predicted the bitcoin price will climb to just over $100000 per bitcoin in 2021—with almost a third of the panelists surveyed... The filing provided new detail on the market value of its Bitcoin holdings that for the first time, allows observers to calculate what it paid for the coins... The first transaction to assign monetary value to Bitcoin happened in 2010, a year after the cryptocurrency was made available to the public. Laszlo Hanyecz became the first known person to make a payment using Bitcoin when he bought two pizzas in 2010. In the decade-plus since then, the world's... Goldman said bitcoin's problems make it vulnerable to 'losing store-of-value demand to another, better-designed cryptocurrency.' The online games and virtual world creator has snapped up 1,717 Bitcoin for $58,226 each, as it believes the cryptocurrency offers “long-term stability and... The recent deflation in bitcoin has reinforced concerns about the cryptocurrency's bid to become a long-term store of value, according to Goldman Sachs' top...",-0.6597,0.059,0.076,0.865
7,2021-04-29 10:00:00,"Welcome to another episode of SALT Talks with host Anthony Scaramucci and guest Willy Woo, a prominent on-chain Bitcoin analyst. He is also the author of... As fears of inflation rise, people are debating Bitcoin's validity as ""digital gold,"" a kind of inflation hedge. Ethereum is outpacing Bitcoin after the European Investment Bank issued its first-ever digital bond sale. How much money could you have made if you'd... For many cryptocurrency supporters and investors, regulatory approval of a Bitcoin exchange-traded fund in the United States represents the holy grail. Central banks are making their move into the digital currency market - and it spells doom for the world's most popular cryptocurrencies. Euro Pacific Capital's chief economist dismissed bitcoin as a 'collectible token' and predicted it would be worthless once the hype fades. Bitcoin news from CFO Zach Kirkhorn captivated investors. Investors are confronting difficult questions over whether cryptocurrency investing is compatible with their ESG considerations, as surging bitcoin prices... HONG KONG / ACCESSWIRE / April 29, 2021 / Leading crypto derivatives exchange Bexplus has launched a 100% deposit bonus promotion to all traders,... Turnkey Co-Living Spaces in the Heart of Silicon Valley's Startup Community go for $1 per month, all utilities and property taxes included...",0.9371,0.126,0.056,0.818
8,2021-04-30 10:00:00,"Are you ready to dive into Bitcoin investing? Read this first. As bitcoin gains in value and popularity, so too has the environmental scrutiny over the computer-driven 'mining' process to create the coins and record... Altcoins moved toward new highs and Bitcoin price rallied above $57000 shortly after today's uneventful $4.2 billion monthly options expiry. Whether you're a first-time crypto user or a veteran trader, it's easy to get confused over crashes and corrections when both terms are thrown around so... More USD Coin was printed than on any other day on Friday, as $3 billion worth of USDC entered the cryptocurrency space. The last time bitcoin traded at this level was almost two weeks ago, on April 17. A cryptocurrency exchange with about 2 million users worldwide announced that it has ""suffered a serious cyber attack."" A number of basic services are... As previous halving cycles along with the fundamental nature of bitcoin show, the BTC price is set to break $60000 and go parabolic in 2021. The rise of stablecoins as cryptocurrency is a bigger threat to established, government-backed currency than Bitcoin. Some of the biggest economies are... Bitcoin could be in for a long, cool spring of modest new all-time highs followed by sudden dips.",0.8271,0.096,0.047,0.857
9,2021-05-01 10:00:00,"Bitcoin clocks up first April loss since 2015 despite sudden bullish surge, ETH's market cap overtakes PayPal after new record highs, and Tesla sells off... Billionaire entrepreneur Mark Cuban sees Bitcoin as modern-day gold. Find out why he's bought into Bitcoin and other cryptocurrencies. As PayPal and Robinhood continue to prevent bitcoin bought on their platforms from being moved elsewhere, a leaked blog post has revealed London-based... Bitcoin transactions are easy to trace, except when the sender uses a mixer to muddle the link between their crypto address and real-life identity. Berkshire Hathaway Vice Chairman Charlie Munger railed against bitcoin in Berkshire's annual meeting Saturday, calling the cryptocurrency — which Munger and... Seven primal elements of Bitcoin have combined to turn it into a belief system, such as story creed icons rituals sacred words pagans and leader. Visa CEO Al Kelly says that the payments giant is leaning into the cryptocurrency space ""in a very, very big way."" He outlines five key areas of crypto... The biggest challenger to Bitcoin's cryptocurrency throne – Ethereum (ETH) – set another all-time high today as it charged towards $3000. South African investors recently confessed to losing money to a scammer after he convinced them to buy nearly worthless physical coins. Bill Maher ridiculed Bitcoin and Tesla CEO Elon Musk on HBO's 'Real Time' last night.",-0.7351,0.036,0.064,0.9
