,date,text,Google compound,Google positive,Google negative,Google neutral
0,2017-08-18 10:00:00,"Hedge funds have long been a popular choice for risk-averse investors and rely on the fund's visionary founder and teams of analysts to guide their money in... People continue to draw parallels between Bitcoin and gold. Some traits of both commodities make those comparisons pretty compelling, especially in terms of... After an Excellent two week start of the month (August) Bitcoin continues to upward flow past and over new All-Time High regularly. This time according to... Bitcoin millionaire teenager Erik Finman is launching a spaceship to document humanity with NASA. A Wall Street analyst has a Bitcoin price prediction of $55000 in five years. It's not too late to buy in. Here's how Bitcoin will get there... Erik Finman gained notoriety and a certain fame as a 14-year-old entrepreneur and bitcoin investor who'd managed to turn a $1000 investment in the... Bitcoin and blockchain technology will undoubtedly benefit the banked population of South Africa – but the 'how' and 'when' are still being ironed out, say… Most readers have probably heard of Bitcoin, the digital coin that dominates the cryptocurrency market. It has gained notice both because of its... Jeff Bezos has a great saying: ""Your margin is my opportunity."" Essentially, it means he can out-compete almost any business in industries he enters using... A sudden increase in the price of bitcoin cash is changing the economic dynamic between it and the original bitcoin.",0.9848,0.15,0.0,0.85
1,2017-08-19 10:00:00,"Gemini also acknowledges this is not their first scaling issue. Nor will it be the last, for that matter, as the company continues to grow every quarter. Leader in cryptocurrency, Bitcoin, Ethereum, XRP, blockchain, DeFi, digital finance and Web 3.0 news with analysis, video and live price updates. The bitcoin offshoot surged to a record, helped by strong demand from South Korea and increased profitability for digital currency ""miners."" The Ethereum Developer team has just released word that the Metropolis hard fork is set to occur in late September of this year. Josh Stark argues that ""cryptoeconomics"" is widely misunderstood, despite being a concept crucial to understanding the blockchain industry. ATMs specializing in the cryptocurrency bitcoin are popping up in the Phoenix-area. Falcon Private Bank will allow account holders to buy and hold Bitcoin as part of a collaboration with brokerage service Bitcoin Suisse. Fans are used to trading purchased “tokens” for webcam shows with their favorite porn stars online but now they can take it one step further: trading tokens... Bitcoin millionaires are being made every day as the cryptocurrency's value continues to climb. One making waves in particular is Erik Finman,... A FLAT Glasgow's south side is the first property in the country to be bought with digital currency, rather than Sterling.",0.7096,0.059,0.027,0.914
2,2017-08-20 10:00:00,"Bitcoin ATM company LocalCoinATM recently opened the first Ethereum ATM in Toronto and have added support for ETH on all their Bitcoin ATMs in the Greater... There are so many different types of Bitcoin ransomware in circulation today that it is hard to find one that is unique. Shinigami Locker is not necessarily... LocalCoinATM, the Ontario-based bitcoin and Ethereum ATM manufacturer, has installed its first batch of Ethereum ATM in Canada. How did this Chinese company come to control so much of the bitcoin economy? Litecoin is cheap and fast enough for daily purchases. Lee's goal: To retain some of bitcoin's security features without all of its bulk. BTC.com has launched a recovery tool in mid-August 2017 that would allow holders of the new cryptocurrency token Bitcoin Cash to access and recover their... In its essence, Ethereum extended over the Bitcoin payment mean, by adding a rich programming language enabling the execution of smart contracts. What ""The Graduate"" can teach about today's cryptocurrencies. In this San Francisco 'castle', over half a dozen residents have become millionaires investing in cryptocurrencies such as bitcoin. Advertisement. A provincial Russian mansion has been put up for sale with an estimated price of 3000 bitcoins. However, the lack of legal classification for digital...",0.891,0.076,0.017,0.907
3,2017-08-21 10:00:00,"Members of the U.S. Congress are drafting legislation that would protect certain forms of cryptocurrency from being used for illegal activities while... Build your own lottery!Like these projects? Want to Contribute? Go here: https://www.seanhodgins.com/supportThingiverse Files:... Recently, a friend and I were talking about Bitcoin and investments in general. Ultimately this conversation led him to finally buy Bitcoin,... Local media has reported that the Philippines' central bank has approved the registration of two virtual currency exchanges. The announcement comes after. Web sites increasingly accept cryptocurrencies as a method of payment, but users should be aware that these transactions can be used to deanonymize them. Digital currency ethereum climbed Monday to a near two-month high amid renewed uncertainty about the future of bitcoin. Gaming industry website Calvinayre.com recently acquired cryptocurrency news site coingeek.org. This move represents the founders love of bitcoin. AICHI (TR) – Aichi Prefectural Police on Sunday applied fresh charges of murder and robbery to two persons in custody for allegedly dumping the body of a... Bitcoin price continued surging during the first half of last week's trading sessions, to record a new historical high of $4,500 last Thursday,... The bitcoin cash blockchain is becoming more competitive against the bitcoin chain from which it forked – and that's having interesting impacts.",0.6359,0.111,0.076,0.814
4,2017-08-22 10:00:00,"Aug.22 -- Ben Brabyn, head of Level39, discusses the outlook for digital currencies with Bloomberg's Caroline Hyde on ""Bloomberg Technology."" If there is one particular trait Bitcoin severely lacks, it is anonymity. Despite claims from the media about how it is impossible to track Bitcoin... Ever since Bitcoin Cash was launched, conflicting reports have surfaced regarding its adjustable mining difficulty. A… It seems like everyone is launching a Bitcoin startup these days. In fact, there are more than 1000 companies out there focused on the Bitcoin platform. David Golumbia is an associate professor of English at Virginia Commonwealth University and the author of 'The Politics of Bitcoin: Software as Right-Wing... Asus is to release a new product aimed at cryptocurrency miners – a motherboard that can be packed with 19 GPUs. The term “blockchain technology” has a broad spectrum of meanings, as its use can be applied to the well-known Bitcoin Blockchain, Ethereum Blockhain,... Cindicator represents the next evolutionary leap in asset management and predictive analystics as it combines the logical power of AI with the experience. Amid the hype surrounding Bitcoin and Ethereum, it's easy to overlook how blockchains—the technology behind those currencies—are already transforming major... The IRS is paying a company called Chainalysis to help identify the owners of digital ""wallets"" that users employ to store their bitcoins.",0.6808,0.065,0.036,0.9
5,2017-08-23 10:00:00,"Estonia is considering plans to expand upon its e-Residency program with a new form of cyrptocurrency dubbed estcoin. When buying a flame-grilled burger, you can get some cryptocurrency on the side as Burger King Russia has created one billion whoppercoins. Want to top up your BitPay Card with even greater ease? Here's how to get started!Like us on Facebook: https://www.facebook.com/BitPayOfficial/Follow us on... Forget $5,000. At a time when many are making short-term bets on the price of bitcoin and other cryptocurrencies, one bitcoin bull is going a step further. At about 9pm on Tuesday, August 22 a hacker swapped his or her own SIM card with mine, presumably by calling T-Mobile. This, in turn, shut off network... Chinese conglomerate Fosun Group has invested in Shanghai blockchain startup Onchain. A change to bitcoin cash has provided further clues as to its evolving relationship with the bitcoin blockchain. The IRS is actively seeking out tax evaders using Bitcoin, employing tools like Chainalysis to unmask them. Bitcoin prices have been struggling to break free of their current price range, after fluctuating close to $4000 in recent weeks. National Bank of Ukraine talks about the legality of Bitcoin, after police raid arrests bitcoin miners.",0.8805,0.099,0.036,0.865
6,2017-08-24 10:00:00,"Jake Frankenfield's work covers investing, business developments, and industry trends in big tech, big data, blockchain, cryptocurrency, advertising,... http://HEX.win Claim free HEX tokens! Get rich in 2020! The cryptocurrency designed to pump! The first blockchain CD (high interest time deposit) Richard... It appears there is a fair bit of confusion regarding both Ethereum and NEO right now. Most people know the Ethereum network requires so-called gas to... To survive Venezuela's hyperinflation, many have taken to mining bitcoin to afford basic necessities, according to the Atlantic. Agenda AWANI: Era Bitcoins, 'Cryptocurrencies' & isu ancaman siber. Slaven Vlasic / Stringer / Getty Images A Mark Cuban-backed company is looking to take on social media giants like Facebook with the development of a new... The credit card giant has filed a patent for a digital asset network at the U.S. Patent and Trademark Office. The controversial code underlying bitcoin scaling proposal Segwit2x is moving toward production, according to project leaders. Chinese manufacturer Midea Group is trying to patent a way to build bitcoin mining chips into everyday household items, according to public records. Like many other encryption-dependent things, Bitcoin could be vulnerable to hacks by future quantum computers. qBitcoin would use quantum cryptography to...",0.9537,0.11,0.028,0.862
7,2017-08-25 10:00:00,"Get an overview of cryptocurrencies. See all about rankings, charts, prices, news and real-time quotes. The fourth episode of the Zcash Show & Tell series will feature two Zcash Company engineers Ariel Gabizon and Jay Graber who have been working on an... Using a cryptocurrency exchange is often constricted by certain limits and lack of access to all expected features. In the case of Bittrex – which is... In this episode Crypto Trader Host Ran Neu-Ner is joined by Greg Morris, Ari Paul, CEO of RLB Systems to talk about Bitcoin mining, and also chat to a team... Mayweather has promoted several initial coin offerings, like Stox and Hubii, on his Instagram and Twitter profiles. Version 1.0 of a standard that could help connect all of bitcoin's differing Lightning tech implementations is reportedly close to being complete. As the network appears to emerge unscathed from a major cyber attack, experts say that hackers misjudged their leverage. It's been well over 24-hours since Segregated Witness activated on the Bitcoin network, and cryptocurrency spectators have been watching to see if the... From Bitcoin to Peercoin, digital currencies are becoming more mainstream and leaving their mark in the marketplace. According to Statista, there are... Bitcoin may be vulnerable to market manipulation not just by traders who hold large stores of bitcoin, but also by miners like Bitmain.",0.6249,0.052,0.03,0.918
8,2017-08-26 10:00:00,"Now that the Kraken exchange has officially removed the BTC/GBP market, a lot of cryptocurrency traders are looking for alternative solutions. Having many options for cryptocurrency wallets is a good thing for the network and for consumers. Variety, as they say, is the spice of life. Venezuelan company located in Panama, Cryptobuyer, will install the first Bitcoin ATM in Costa Rica. The cryptocurrency or digital currency released in 2009... Wall Street's traders Mike Komaransky and Chase Lochmiller have achieved greater financial success by trading cryptocurrencies like Bitcoin and Ethereum. In an interview with Bloomberg, Bitmain CEO Jihan Wu says Bitcoin could possibly reach $100000 in five years. How can investors think critically about blockchain? Investor Wendy Xiao Schadeck poses four burning questions. Why are a growing number of enterprises diving into blockchain technology? Blockchain is open-source technology used to create a distributed ledger – a... As Bitcoin price rises, Satoshi wannabes exploit cryptos' growing popularity. Ryan Williams, a 35-year-old school bus driver, talked about how he paid for his above-ground pool with his bitcoin winnings, according to a report from NBC... Would-be cryptocurrency investors have been conned out of a combined $225 mln this year alone, according to a report released by Chainalysis, a provider of...",0.9685,0.138,0.016,0.846
9,2017-08-27 10:00:00,"San Francisco and Kiev-based blockchain startup Propy, launched its Token Sale this week. Index tracking is a trading/investment strategy whereby an investor tracks a broad market index or a segment thereof. An approach like this involves... Market Overview Analysis by Surf City covering: XAU/USD, Gold Futures, BTC/USD, Grayscale Bitcoin Trust (BTC). Read Surf City's latest article on... South Africans are beginning to ask why the price of Bitcoin on local exchanges does not translate to the dollar price when converted using current exchange... Almost 8 years after the launch of bitcoin's network, more and more e-commerce businesses are choosing to add bitcoin, and other cryptocurrencies,... The cryptocurrency market, which contains many innovative assets, has surged in value this year. This week in order to provide more Bitcoin resources, we've added a new chart and data analysis section to our web portal called charts.Bitcoin.com. Kraken, a San Francisco-headquartered bitcoin and cryptocurrency exchange has announced this upcoming week they will be reducing the allowed decimal place... Google's signature catch-phrase might hint at problems inherent in the internet, and why blockchain-inspired change is needed. South Korean conglomerate, Dongbu Group, has announced a partnership with Bitcoin remittance service provider Sentbe in its bid to enter the Bitcoin...",0.8625,0.069,0.013,0.917
